Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
10896	Laghu-Yoga-Vasistha		"Aiyer, K Narayanaswami"	The Adyar Library and Research Centre - Madras	1980	0-8356-7497-5	Religion	Other Religions - Brahmanism & Related	294	AIY		294.5	AIY					
15018	Be Careful With Muhammad!	The Salman Rushdie Affair	"Akhtar, Shabir"	Bellew Publishing Company Ltd	1989	0-947792-27-9			297	AKH		297	AKH					
12885	To Freedom and Beyond	The Development of French 19th-Century Painting	"Alabone, John"	Tyndall	1976	0 8390 0166 5	The Arts	Philosophy & Theory	701	ALA		759.4	ALA					
15259	Alain on Happiness		Alain	Northwerstern University Press	1989				194	ALA		171	ALA					
11535	"Bezels Of Wisdom, The"		"Alarabi, Ibn"	SPCK - London	1980	0 281 03785 X	Religion	Other Religions - Islam & Bahaism	297	ALA		297	ALA					
11528	"Tarjuman Al-Ashwaq, The"	A Collection of Mystical Odes	"Al-Arabi, Muhyiddin Ibn"	Theosophical Publishing House Ltd. - london	1978	7229 5134 5	Literature	Other Literatures	890	AL-		892	ALA					
12650	"Language of Pattern, The"	An Enquiry Inspired by Islamic Decoration	"Albarn, K et al"	Thames & Hudson	1976	0 500 27041 4	The Arts	Drawing & Decorative Arts - Decorative Arts	745	ALB		745.4	ALB					
16439	"Platonic Doctrines of Albinus, The"	translated from the Greek by Jeremiah Reedy	Albinus	Phanes Press	1991	0-933999-15-1			186	ALB		184	ALB					
10695	Arthur's Britain	History and Archaeology AD 364-634	"Alcock, Leslie"	Penguin Books	1971	0 1402 1396 1	History	Europe - England	942	ALC		942	ALC					
13025	Alcoholics Anonymous	The Story of How Many Thousands of Men and Women Have recovered from Alcoholism.	AA	A.A. Sterling Area Services	1975		Religion	Spiritual Renewal	216.9	ALC		362	AA					
13026	Alcoholics Anonymous Comes Of Age	a Brief History of A.A.	AA	Alcoholics Anonymous Publishing Inc.	1988	0-916856-02-X	Religion	Spiritual Renewal	216.9	ALC		362	AA					
10787	"Fifth Dimension, The"	The Future of Mankind	"Alder, Vera Stanley"	Rider & Company - London	1970	09 027292 7	Philosophy	Branches of Psychology - Occult Sciences	133	ALD		133	ALD					
