Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
14018,CASSELL'S ANTHOLOGY OF FRENCH POETRY,Selected and Translated by Alan Conder with Introduction by Walter de la Mare and Louis Cazamian,Cassell,Cassell and company,1950,,,,841,CAS,,,,,
16037,THE ILLUSTRATED MAGAZINE OF ART,Volume I,Cassell - John,John Cassell,1853,,,,702,CAS,,,,,
14892,LANGUAGE AND MYTH,,Cassirer - Ernst,Dover Publications Inc,1946,,,,193,CAS,,,,,
15476,A SEPARATE REALITY,Further Conversations with Don Juan,Casteneda - Carlos,The Bodley Head,1971,0-370-01365-4,,,572,CAS,,,,,
14434,THE BOOK OF THE COURTIER,,Castiglione - Count Baldassare,J. M. Dent,1994,0-460-87502-7,,,858,CAS,,,,,
11593,ADVENTURES OF THE MIND,,CASTIGLIONI - ARTURO,Sampson Low - Marston & Co. Ltd. - London,,,Social Sciences,Customs & Folklore - Folklore,398,CAS,,,,,
16008,THE DISCOVERY AND CONQUEST OF MEXICO 1517 - 1521,,Castillo - Bernal Diaz del,George Routledge & Sons,1928,,,,972,CAS,,,,,
16045,THE WILMINGTON GIANT,The quest for a lost myth,Castleden - Rodney,Turnstone Press Ltd,1983,0-85500-185-2,,,942,WIL,,,,,
14633,DEATH COMES FOR THE ARCHBISHOP,,Cather - Willa,Virago,1981,0-86068-183-1,,,813,CAT,,,,,
10560,PURGATION AND PURGATORY - THE SPIRITUAL DIALOGUE,,CATHERINE OF GENOA,SPCK - London,1979,0281 03709 4,Religion,Religion - Philosophy & Theories,201,CAT,,,,,
10561,DIALOGUE ~ THE,,CATHERINE OF SIENA,SPCK - London,1980,0281 03731 0,Religion,Religion - Philosophy & Theories,201,CAT,,,,,
12236,FOREFATHERS,,CATO - NANCY,New English Library - Kent,1984,0-450-05651-1,Literature,English Literature - English Fiction,823,CAT,,,,,
15350,ILLUSION AND REALITY,A Study of the Sources of Poetry,Caudwell - Christopher,People's Publishing House,1947,,,,824,CAU,,,,,
10579,SELF-ABANDONMENT TO DIVINE PROVIDENCE,,CAUSSADE - JEAN-PIERRE DE,Templegate - Illinois,1962,,Religion,Religion - Philosophy & Theories,201,CAU,,,,,
14801,FATIMA'S SCARF,,Caute - David,Totterdown Books,1998,0-9530407-0-4,,,823,CAU,,,,,
14027,THE DARK CRYSTAL: AN ANTHOLOGY OF MODERN GREEK POETRY,Cavafy - Sikelianos - Seferis - Elytis - Gatsos.  Selected and translated by Edmund Keeley and Philip Sherrard,Cavafy et al,enise Harvey and Company,1981,,,,889,CAV,,,,,
14028,THE COMPLETE POEMS OF CAVAFY,Translated from modern Greek - and with notes - by Rae Dalven.  Introduction by W. H. Auden,Cavafy - Constantine P.,Harcourt - Brace and World,1961,,,,889,CAV,,,,,
11245,BLACK ARTS ~ THE,,CAVENDISH - RICHARD,Pan Books,1967,330 02223 7,Philosophy,Branches of Psychology - Occult Sciences,133.4,CAV,,,,,
15443,D. H. LAWRENCE AND THE NEW WORLD,,Cavitch - David,Oxford University Press,1969,,,,824,LAW,,,,,
12928,WAKEFIELD PAGEANTS ~ THE,In The Towneley Cycle,CAWLEY - A. C. (ED),Manchester University Press,1975,0 7190 0606 6,Literature,English & Old English Literatures - English Drama,822,CAW,,,,,
16192,THE ART OF INDIA,,Cawthorne - Nigel,Reed international Books,1997,0-600-59236-7,,,709,IND,,,,,
16368,THE GOLDEN LEGEND OR LIVES OF THE SAINTS,Volume Seven,Caxton - William,J.M. Dent,,,,,235,CAX,,,,,
15972,JOURNEY TO THE END OF THE NIGHT,,Celine - Louis-Ferdinand,John Calder,1983,0-7145-4139-7,,,843,CEL,,,,,
12413,Benvenuto Cellini,Memoirs Written by Himself,Cellini - Benvenuto,Oxford University Press,,,Autobiography,Benvenuto Cellini,CEL,Cel,,,,,
13180,TRADITION OF TEACHERS ~ A,Sankara and the Jagadgurus Today,CENKNER - WILLIAM,Motilal Banarsidass,1995,81 208 0932 7,Religion,Religions of Indic Origin,294,CEN,,,,,
14632,DON QUIOXTE,Ozell's revsion of the translation of Peter Motteux,Cervantes - Miguel de,The Modern Library,1930,,,,863,CER,,,,,
